hotel_name,hotel_address,hotel_city,hotel_state,hotel_zipcode,hotel_phone
motel6 PORTLAND EAST - TROUTDALE,1610 NW FRONTAGE RD,TROUTDALE,OR,97060,5036652254
motel6 CORPUS CHRISTI EAST - NORTH PADRE ISLAND,8202 S PADRE ISLAND DR,CORPUS CHRISTI,TX,78412,3619918858
motel6 JACKSONVILLE - ORANGE PARK,6107 YOUNGERMAN CIRCLE,JACKSONVILLE,FL,32244,9047776100
motel6 EUGENE NORTH - SPRINGFIELD,3752 INTERNATIONAL CT,SPRINGFIELD,OR,97477,5417411105
motel6 DENVER - THORNTON,6 W 83RD PL,THORNTON,CO,80221,3034291550
motel6 ODESSA,200 E I-20 SERVICE ROAD,ODESSA,TX,79766,4322728702
motel6 ORLANDO - KISSIMMEE MAIN GATE EAST,5731 W IRLO BRONSON HWY,KISSIMMEE,FL,34746,4073966333
motel6 CARLSBAD BEACH,750 RAINTREE DR,CARLSBAD,CA,92011,7604310745
motel6 SALT LAKE CITY SOUTH - MIDVALE,7263 S CATALPA ST,MIDVALE,UT,84047,8015610058
motel6 SAN BERNARDINO NORTH,1960 OSTREMS WAY,SAN BERNARDINO,CA,92407,9098878191
motel6 WATSONVILLE - MONTEREY AREA,125 SILVER LEAF DR,WATSONVILLE,CA,95076,8317284144
motel6 HOUSTON - NASA,1001 W NASA PARKWAY,WEBSTER,TX,77598,2813324581
motel6 SALINAS SOUTH - MONTEREY AREA,1257 DE LA TORRE BLVD,SALINAS,CA,93905,8317573077
motel6 CHARLESTON NORTH SC,2551 ASHLEY PHOSPHATE RD,NORTH CHARLESTON,SC,29418,8435726590
motel6 SAN ANTONIO WEST - SEAWORLD,2185 SW LOOP 410,SAN ANTONIO,TX,78227,2106739020
motel6 PITTSBURGH - CRAFTON,211 BEECHAM DRIVE,PITTSBURGH,PA,15205,4129229400
motel6 LAKELAND,3120 US 98 N,LAKELAND,FL,33805,8636820643
motel6 SANTA MARIA,2040 N PREISKER LN,SANTA MARIA,CA,93454,8059288111
"motel6 BRADENTON, FL",660 67TH ST CIRCLE E,BRADENTON,FL,34208,9417476005
motel6 OCEANSIDE,3708 PLAZA DR,OCEANSIDE,CA,92056,7609411011
motel6 REDDING NORTH,1250 TWIN VIEW BLVD,REDDING,CA,96003,5302464470
motel6 SEATTLE NORTH - KIRKLAND,12010 120TH PLACE NE,KIRKLAND,WA,98034,4258215618
motel6 HAMMOND - CHICAGO AREA,3840 179TH ST,HAMMOND,IN,46324,2198450330
motel6 PALM SPRINGS DOWNTOWN,660 S PALM CANYON DR,PALM SPRINGS,CA,92264,7603274200
motel6 CORONA,200 N LINCOLN AVE,CORONA,CA,92882,9517356408
motel6 LANTANA,1310 W LANTANA RD,LANTANA,FL,33462,5615855833
