hotel_name,hotel_address,hotel_city,hotel_state,hotel_zipcode,hotel_phone
staystudio6 PHOENIX TEMPE - PRIEST DR,1720 S PRIEST DR,TEMPE,AZ,85281,4809684401
staystudio6 BALTIMORE - BWI AIRPORT,5179 RAYNOR AVE,LINTHICUM HEIGHTS,MD,21090,4106369070
staystudio6 SALT LAKE CITY NORTH - WOODS CROSS,2433 S 800 W,WOODS CROSS,UT,84087,8012980289
staystudio6 FT PIERCE,2500 PETERS RD,FT PIERCE,FL,34945,7724619937
staystudio6 SAN SIMEON - HEARST CASTLE AREA,9070 CASTILLO DR,SAN SIMEON,CA,93452,8059278691
staystudio6 MINNEAPOLIS SOUTH - LAKEVILLE,11274  210TH ST W,LAKEVILLE,MN,55044,9524691900
staystudio6 COOS BAY,1445 N BAYSHORE DR,COOS BAY,OR,97420,5412677171
"staystudio6 Ann Arbor, MI",3764 S STATE ST,ANN ARBOR,MI,48108,7346659900
staystudio6 BOSTON WEST - FRAMINGHAM,1668 WORCESTER ROAD,FRAMINGHAM,MA,01702,5086200500
staystudio6 SAN FRANCISCO - REDWOOD CITY,1101 SHOREWAY RD,BELMONT,CA,94002,6505911471
staystudio6 IRVINE - ORANGE COUNTY AIRPORT,1717 EAST DYER ROAD,SANTA ANA,CA,92705,9492611515
"staystudio6 Hagerstown, MD",11321 MASSEY BLVD,HAGERSTOWN,MD,21740,3015824445
staystudio6 LOS ANGELES LAX,5101 W CENTURY BLVD,INGLEWOOD,CA,90304,3104191234
staystudio6 PALM SPRINGS NORTH,63950 20TH AVE,NORTH PALM SPRINGS,CA,92258,7609046993
staystudio6 PHILADELPHIA AIRPORT - ESSINGTON,43 INDUSTRIAL HIGHWAY,ESSINGTON,PA,19029,6105216650
staystudio6 YORK NORTH,125 ARSENAL ROAD,YORK,PA,17404,7178438181
staystudio6 CHICAGO WEST - VILLA PARK,10 W ROOSEVELT RD,VILLA PARK,IL,60181,6309419100
staystudio6 PORTLAND ME,ONE RIVERSIDE STREET,PORTLAND,ME,04103,2077750111
staystudio6 PHILADELPHIA - KING OF PRUSSIA,815 WEST DEKALB PIKE,KING OF PRUSSIA,PA,19406,6102657200
staystudio6 DALLAS - LEWISVILLE,1705 LAKEPOINTE DR,LEWISVILLE,TX,75057,9724365008
staystudio6 PROVIDENCE EAST,821 FALL RIVER AVENUE,SEEKONK,MA,02771,5083367800
staystudio6 ALBUQUERQUE NORTH,8510 PAN AMERICAN FWY NE,ALBUQUERQUE,NM,87113,5058211472
staystudio6 PALM BAY,1170 MALABAR RD SE,PALM BAY,FL,32907,3219518222
"staystudio6 Duluth, MN",200 S 27TH AVE W,DULUTH,MN,55806,2187231123
staystudio6 DENVER EAST - AURORA,14031 E ILIFF AVE,AURORA,CO,80014,3038730286
staystudio6 CHICAGO JOLIET - I-55,3551 MALL LOOP DRIVE,JOLIET,IL,60431,8154391332
staystudio6 BUFFALO - AMHERST,4400 MAPLE ROAD,AMHERST,NY,14226,7168342231
